filename,width,height,class,xmin,ymin,xmax,ymax
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,71,273,144,356
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,3,14,134,128
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,104,115,198,229
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,206,293,350,411
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,146,315,234,403
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,270,62,386,163
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,351,148,415,258
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,177,257,243,329
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,188,23,271,113
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,172,84,254,162
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,3,234,95,331
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,326,245,416,354
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,32,344,102,402
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,196,148,304,230
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,315,0,381,50
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,363,0,416,64
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,279,235,328,285
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,0,109,70,181
BLAN_005_2019_jpeg.rf.9093edbd067c305e51cd6f9eedf3a381.jpg,416,416,tree-top,51,133,112,222
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,245,97,305,161
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,200,40,277,120
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,26,203,90,273
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,1,126,50,234
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,215,355,279,416
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,276,182,349,278
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,328,0,416,51
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,160,223,236,303
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,385,78,416,138
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,325,356,356,394
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,275,296,345,370
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,20,61,67,101
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,164,179,232,232
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,150,0,225,54
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,318,115,396,193
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,46,126,140,222
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,0,0,80,67
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,52,31,97,92
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,110,64,196,130
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,132,132,194,204
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,83,225,162,285
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,64,269,129,324
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,113,304,181,362
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,86,325,142,371
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,96,362,190,416
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,318,41,381,103
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,369,190,416,245
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,335,271,398,319
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,376,302,416,351
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,45,329,85,380
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,0,266,35,343
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,84,0,150,72
GRSM_030_2018_jpeg.rf.9098cb823518cdfaf19fa94c8b5e0ab5.jpg,416,416,tree-top,223,259,295,346
DELA_043_2019_jpeg.rf.90a616d7329ad43998602f75237df8bd.jpg,416,416,tree-top,141,15,253,85
DELA_043_2019_jpeg.rf.90a616d7329ad43998602f75237df8bd.jpg,416,416,tree-top,1,194,83,292
DELA_043_2019_jpeg.rf.90a616d7329ad43998602f75237df8bd.jpg,416,416,tree-top,280,85,414,205
DELA_043_2019_jpeg.rf.90a616d7329ad43998602f75237df8bd.jpg,416,416,tree-top,1,28,139,130
